id,jp_name,en_name,ko_name
Chara_50011,オシュトル・ムネチカ,Oshtor and Munechika,
Chara_10000,オシュトル召喚,Oshtor Summon,
Chara_10100,オシュトル変身,Oshtor Transformation,
Chara_02600,オーゼン,Ozen,
Chara_50013,ガウンジ,Gaunji,
Chara_02000,キウル,Kiwru,
Chara_50015,キママゥ,Kimamau,
Chara_50014,ギギリ人形,Gigiri Doll,
Chara_35000,ケツァルコアトル,Quetzalcoatl,
Chara_35001,ケツァルコアトルの腕,Arm of Quetzalcoatl,
Chara_00005,コピーオシュトル,Copy Oshtor,
Chara_00311,コピーミカヅチ,Copy Mikazuchi,
Chara_00403,コピームネチカ,Copy Munechika,
Chara_50016,ゴロツキ,Thug,
Chara_00308,サコン,Sakon,
Chara_01600,サラァナ,Saraana,
Chara_50179,ザクロ,Zakuro,
Chara_04100,シチーリヤ,Shichirya,
Chara_04200,シャスリカ,Shyasurika,
Chara_03600,シュンライ,Shunrai,
Chara_00100,シューニャ,Shunya,
Chara_50018,シューニャ・ハル,Shunya and Halu,
Chara_50019,シューニャ・ムネチカ,Shunya and Munechika,
Chara_50017,シーちゃん,Shii,
Chara_04800,ジロン,Jiron,
Chara_25000,セーブヌコ,Sehb Nuko,
Chara_02100,ソヤンケクル,Soyankekur,
Chara_50020,ソヤンケクル・オーゼン,Soyankekur and Ozen,
Chara_50021,ゾルビュエイ兵,Zorubyuei Soldier,
Chara_03800,チココア,Chikokoa,
Chara_50022,チンピラ,Hooligan,
Chara_02300,ディコトマ,Dikotoma,
Chara_50023,ディコトマ・ハル,Dikotoma and Halu,
Chara_03000,デコポンポ,Dekopompo,
Chara_02700,トキフサ,Tokifusa,
Chara_01800,トリコリ,Torikori,
Chara_50024,ナコク出身の女,Woman From Nakoku,
Chara_01200,ナラクファラ,Narakfala,
Chara_00900,ナーヴァ,Nava,
Chara_01700,ネコネ,Nekone,
Chara_50026,ネコネ・キウル,Nekone and Kiwru,
Chara_50027,ハミャグリ,Hamyaguri,
Chara_00200,ハル,Halu,
Chara_50028,ハル・ディコトマ,Halu and Dikotoma,
Chara_00600,パシュパクル,Pashpakur,
Chara_50181,ホオズキ,Hozuki,
Chara_01400,ホノカ,Honoka,
Chara_23000,ホロロン鳥,Hororon,
Chara_03100,ボコイナンテ,Bokoinante,
Chara_50180,マサムネ,Masamune,
Chara_01000,マヤカゥア,Mayacowl,
Chara_50029,マヤカゥア・ナラクファラ,Mayacowl and Narakfala,
Chara_00500,マロロ,Maroro,
Chara_00300,ミカヅチ,Mikazuchi,
Chara_10200,ミカヅチ召喚,Mikazuchi Summon,
Chara_10300,ミカヅチ変身,Mikazuchi Transformation,
Chara_04000,ミズシマ,Mizushima,
Chara_01301,ミト,Mito,
Chara_50030,ミト・ウコン・サコン,"Mito, Ukon, and Sakon",
Chara_50031,ミト・ディコトマ,Mito and Dikotoma,
Chara_03700,ミライ,Mirai,
Chara_50032,ミライ？,Mirai?,
Chara_03200,ミルージュ,Miruhj,
Chara_03900,ムツミ,Mutsumi,
Chara_00400,ムネチカ,Munechika,
Chara_25100,ムネチカの召喚虫,Munechika's Summoned Insect,
Chara_50035,ムネチカ・ミカヅチ,Munechika and Mikazuchi,
Chara_00401,ムネチカ武人モード,Munechika Combat Mode,
Chara_02800,ムラサメ,Murasame,
Chara_50033,ムーちゃん,Muu,
Chara_50034,ムーちゃん・シーちゃん,Muu and Shii,
Chara_50036,メイドロボ,Maid Robot,
Chara_21400,ヤマトの乗り物,Yamato Vehicle,
Chara_21900,ヤマトの兵,Yamato Soldier,
Chara_20900,ヤマトの民・中年女,Yamato Middle-aged Woman,
Chara_20800,ヤマトの民・中年男,Yamato Middle-aged Man,
Chara_20700,ヤマトの民・女性,Yamato Woman,
Chara_20300,ヤマトの民・少女,Yamato Young Girl,
Chara_20200,ヤマトの民・少年,Yamato Young Boy,
Chara_20100,ヤマトの民・幼児・女,Yamato Little Girl,
Chara_20000,ヤマトの民・幼児・男,Yamato Little Boy,
Chara_21100,ヤマトの民・老人女,Yamato Elderly Woman,
Chara_21000,ヤマトの民・老人男,Yamato Elderly Man,
Chara_20400,ヤマトの民・青年男,Yamato Young Man,
Chara_20500,ヤマトの民・青年男(筋肉質),Yamato Young Man (Muscular),
Chara_20600,ヤマトの民・青年男(荷物運び),Yamato Young Man (Carrying Baggage),
Chara_21500,ヤマトの炭鉱夫,Yamato Coal Miner,
Chara_21200,ヤマトの行商人,Yamato Merchant,
Chara_21300,ヤマトの装備屋,Yamato Equipment Shop,
Chara_21910,ヤマトの騎兵(槍もった番兵),Yamato Cavalry (Spear-wielding Guard),
Chara_03400,ユゥリ,Yuuri,
Chara_50037,ユゥリ・ンハライ,Yuuri and Nhalai,
Chara_02400,ライコウ,Raiko,
Chara_25200,ライコウの召喚兵,Raiko's Summoned Soldier,
Chara_05000,ライデン,Raiden,
Chara_02501,ラウラウ先生,Mr. Raurau,
Chara_35100,ラスボス,Final Boss,
Chara_50177,ランシュタル,Ranshtal,
Chara_50178,ランシュタルの妻,Ranshtal's Wife,
Chara_04400,ラヴィエ,Ravieh,
Chara_03500,リョウゲン,Ryogen,
Chara_04300,リヴェルニ,Liveruni,
Chara_03300,ンハライ,Nhalai,
Chara_01100,ヴァルガ,Varga,
Chara_02200,ヴライ,Vurai,
Chara_10400,ヴライ召喚,Vurai Summon,
Chara_50039,一人目,The First One,
Chara_50040,一同,All,
Chara_50070,三下,Underling,
Chara_50071,三下たち,Underlings,
Chara_50072,三人,The Three,
Chara_50073,三人目,The Third One,
Chara_50125,中年女性,Middle-Aged Woman,
Chara_50126,中年男性,Middle-Aged Man,
Chara_50140,二人目,The Second One,
Chara_50104,人形,Doll,
Chara_50074,仕入れ商人,Wholesaler,
Chara_50147,付き人,Attendant,
Chara_50055,休日中の兵,Off-Duty Soldier,
Chara_50135,伝令,Messenger,
Chara_50175,俥夫,Rickshaw Puller,
Chara_22300,健気な女の子,Brave Girl,
Chara_50061,元気な夫,Energetic Man,
Chara_50060,元気な妻,Energetic Woman,
Chara_50109,全員,All,
Chara_50152,兵,Soldier,
Chara_40000,兵士,Soldier,
Chara_50153,兵士達,Soldiers,
Chara_50136,刀狩りの剣客,Sword Hunter,
Chara_50171,列整理担当者,Line Organizer,
Chara_50090,初老の男,Older Man,
Chara_50062,厳つい顔の男,Stern-Looking Man,
Chara_50110,双子,Twins,
Chara_50041,右近衛衆,Imperial Guard of the Right,
Chara_50139,呑んだくれ,Drunkard,
Chara_50098,商人,Merchant,
Chara_50099,商人に扮した役人,Official in Merchant Disguise,
Chara_50100,商人の霊,Merchant's Spirit,
Chara_22500,困っている女,Troubled Girl,
Chara_50121,地縛霊,Ghost,
Chara_50107,声,Voice,
Chara_50176,壺振り,Dealer,
Chara_50115,大きな唄い手,Bigger Singer,
Chara_50116,大店の主人,Shopkeeper,
Chara_22302,女の子,Girl,
Chara_22301,女の子※欠番,─,
Chara_50092,女の子の母親,Girl's Mother,
Chara_50093,女の子達,Girls,
Chara_50094,女の霊,Girl's Spirit,
Chara_50096,女主人,Proprietress,
Chara_50095,女官,Lady-in-Waiting,
Chara_22502,女性,Woman,
Chara_22201,子供,Child,
Chara_50075,子分,Henchman,
Chara_50051,学士,Scholar,
Chara_50154,宝鉱夫,Miner,
Chara_50157,宝鉱夫の監督,Mining Supervisor,
Chara_50155,宝鉱夫・右,Miner on the Right,
Chara_50156,宝鉱夫・左,Miner on the Left,
Chara_50054,客,Customer,
Chara_50087,宿屋の主人,Innkeeper,
Chara_50088,宿屋の女子衆,Worker,
Chara_50089,宿屋の女将,Madam Innkeeper,
Chara_22700,宿屋店主,Innkeeper,
Chara_50148,富くじ屋のオヤジ,Prize Draw Man,
Chara_50079,射的屋の兄ちゃん,Shooting Gallery Guy,
Chara_50101,小さな唄い手,Little Singer,
Chara_50102,少女,Young Girl,
Chara_50056,居酒屋の店主,Bar Manager,
Chara_50045,屋台の親父,Stallkeeper,
Chara_50067,左近衛衆,Imperial Guard of the Left,
Chara_40400,市場の客,Market Shopper,
Chara_01300,帝,Mikado,
Chara_50128,帝都からの使者,Messenger From the Capital,
Chara_50129,帝都から来た商人,Merchant From the Capital,
Chara_50166,幼い女の子,Little Girl,
Chara_50132,店の主人,Manager,
Chara_50133,店の女の子,Hostess,
Chara_40300,店の女の子,Shop Girl,
Chara_50134,店の女の子たち,Hostesses,
Chara_50130,庭師,Gardener,
Chara_50131,廷臣,Courtier,
Chara_50049,廻船問屋の主人,Trading Vessel Captain,
Chara_50083,手紙,Letter,
Chara_00700,教皇（シャントゥーラ）,Shantuura,
Chara_50169,旅人,Traveler,
Chara_40100,村人,Villager,
Chara_50112,村人たち,Villagers,
Chara_22800,村長,Village Chief,
Chara_50059,検非違使,Capital Guard,
Chara_50149,武芸者,Martial Artist,
Chara_50158,民衆,Crowd,
Chara_50105,水路の管理人,Canal Supervisor,
Chara_50086,獣面の男,Beast-Faced Man,
Chara_50167,用心棒の子分,Bodyguard's Henchman,
Chara_50117,男,Man,
Chara_22200,男の子,Boy,
Chara_22402,男性,Man,
Chara_50119,男衆全員,Men,
Chara_40200,町人,Commoner,
Chara_50127,町人,Townsperson,
Chara_50146,病気の夫,Sickly Husband,
Chara_50145,病気の妻,Sickly Wife,
Chara_50050,皆,Everyone,
Chara_50159,目つきの鋭い老人,Sharp-Eyed Old Man,
Chara_22101,研究員（女）,Researcher (F),
Chara_22100,研究員（男）,Researcher (M),
Chara_50069,砦守備兵,Fortress Guard,
Chara_50068,砦守備隊長,Fortress Guard Captain,
Chara_50143,碑文,Inscription,
Chara_50168,絡繰り人形,Mechanical Doll,
Chara_50042,羽振りの良い商人,Influential Merchant,
Chara_50173,老婆,Elderly Woman,
Chara_50172,老客,Senior Customer,
Chara_50174,老爺,Elderly Man,
Chara_50151,聞き覚えのある声,Familiar Voice,
Chara_50078,自警団の若者,Young Vigilante,
Chara_50057,興奮気味の青年,Agitated Youngster,
Chara_50085,舟侍,Boatman,
Chara_50080,若い女性,Young Woman,
Chara_50081,若奥様,Young Married Woman,
Chara_50082,若衆頭,Young Man,
Chara_50123,茶屋の客,Teahouse Customer,
Chara_50122,茶屋の看板娘,Teahouse Waitress,
Chara_50124,茶店の女主人,Teahouse Manager,
Chara_50064,荒くれ者,Hoodlum,
Chara_50047,荷をさばく商人,Busy Merchant,
Chara_50048,荷を積む男性,Loader,
Chara_50065,行商人,Traveling Merchant,
Chara_50043,衛兵,Guard,
Chara_50044,衛兵・衛兵,Guards,
Chara_50111,装備屋の主人,Equipment Seller,
Chara_00007,裸オシュトル,Naked Oshtor,
Chara_00501,裸マロロ,Naked Maroro,
Chara_00314,裸ミカヅチ,Naked Mikazuchi,
Chara_50150,覆面の男,Masked Man,
Chara_50138,討伐隊兵士,Squad Member,
Chara_50137,討伐隊長,Squad Captain,
Chara_50142,買い物客,Customer,
Chara_50163,輸送商,Caravan Merchant,
Chara_50164,輸送団長,Caravan Chief,
Chara_50141,農家の親父,Farmer,
Chara_50058,近衛衆,Imperial Guard,
Chara_40600,追っ手,Pursuer,
Chara_50165,遊宮のお嬢,Hot Spot Girl,
Chara_50106,酔っぱらった町人,Drunk Townsman,
Chara_22901,里の長,Village Elder,
Chara_50162,野次馬,Onlooker,
Chara_40700,門衛,Gatekeeper,
Chara_50161,門衛達,Gatekeepers,
Chara_50053,関所兵,Checkpoint Guard,
Chara_50052,関所隊長,Checkpoint Guard Captain,
Chara_50114,隊長,Captain,
Chara_50063,雇われ用心棒,Hired Bodyguard,
Chara_50170,霊,Specter,
Chara_50108,青年,Youth,
Chara_50046,音声,Voice,
Chara_50144,飛脚,Express Messenger,
Chara_50103,食道楽な老爺,Elderly Epicure,
Chara_40500,飼育場の親父,Breeder,
Chara_50084,首を抱えた男,Man Carrying Heads,
Chara_50066,骨董商,Antique Seller,
Chara_00008,髭なしウコン,Beardless Ukon,
Chara_50182,？,？,
